"Date","Post Type","Content","Video Thumbnail","Image","Like","Retweet","Reply"
"2024-03-17T18:18:56.000Z","text","Join our Web3 + AI Happy Hour in San Jose on March 21st!

Coinciding with the  #GTC2024 conference, this side event is a must for enthusiasts of both fields.

Dive into Web3+AI with   together, network with peers, and enjoy a casual vibe filled…","","","61","20","1"
"2024-03-17T17:51:41.000Z","text","Autonomous Economic for Millions of AI Agents 🔌","","","54","9","5"
"2024-03-16T04:54:03.000Z","text","haha recovery already, thanks for asking!
The 💊 posts are for something coming up 🫡","","","15","2",""
"2024-03-16T04:44:33.000Z","text","💊💊💊💊💊💊💊💊💊💊💊💊💊 x.com/marvin_tong/st…","","","36","9","5"
"2024-03-15T17:47:28.000Z","image"," is a AI-coprocessor that hosting AI Agent on computation layer, to connect AI into blockchains. Let's add it into the landscape.Decentralized AI offers a radical departure from  centralized models that dominate today’s landscape.

The opportunity set is growing at a breakneck pace: below is a directory that includes 175+ teams working in the space at different layers in the stack.…","","https://pbs.twimg.com/media/GIp9WeqXYAAWYkQ?format=png&name=900x900","49","16","2"
"2024-03-14T05:58:22.000Z","text","💊💊💊💊💊💊💊💊💊💊💊 x.com/marvin_tong/st…","","","22","9","5"
"2024-03-12T22:26:21.000Z","text","💊💊💊💊💊💊💊💊💊 x.com/marvin_tong/st…","","","26","6","6"
"2024-03-11T15:30:22.000Z","image","Wow this is wide!
A  host runtime is added to   js runtime 🫡
A milestone for TEE+ZKP multi-prover strategy🔥
","","https://pbs.twimg.com/media/GIZlKaLbQAAXlr-?format=jpg&name=medium","79","24","2"
"2024-03-08T01:32:19.000Z","text","💊💊💊💊💊💊💊 x.com/marvin_tong/st…","","","18","3","9"
"2024-03-07T18:25:48.000Z","image","🚀🔥   is throwing down the gauntlet, and it's time for   to make some noise!

YOUR VOTE decides if  they will list $PHA on the futures market! 💥

Hit up this link, make your mark, and let's blast $PHA () 🌌🔥","","https://pbs.twimg.com/media/GIFnOzRbsAE-fB-?format=jpg&name=medium","105","40","5"
"2024-03-07T02:46:20.000Z","text","💊💊💊💊💊 x.com/marvin_tong/st…","","","13","2","4"
"2024-03-06T17:30:43.000Z","image","🐞Find runtime bugs for  ?
💰Get bounty from $60,500 prize pool !
Calling all Rust developers 🗣️

Code4rena is expanding beyond Solidity, and the @PhalaNetwork audit is the perfect opportunity for you!

The following post has resources to help get you going 👇🧵","","https://pbs.twimg.com/media/GIAGSqEWQAAhRmO?format=jpg&name=medium","58","15","2"
"2024-03-06T05:15:01.000Z","text","💊💊💊","","","8","1","4"
"2024-03-05T04:35:56.000Z","text","💊","","","17","3","5"
"2024-03-03T14:49:11.000Z","text","Originally analogy from ","","","2","",""
"2024-03-03T14:42:58.000Z","text","🥊Taking <flights ✈️> to Denver is a crutch for weak people who don’t want to< 🚗 ride > for 36 hours—-
because taking flights have risks, and you have to trust the captain 🥱TEEs are a crutch for weak people who don’t want to solve hard problems.

Fight me.","","","21","4","1"
"2024-03-01T16:44:07.000Z","image","Highlights from #ETHDenver2024 🚀:
- AI transcends the hype, proving its concrete value in the ecosystem.
- Unveiling real-world, practical approaches to decentralizing AI services.
- Beyond ZKML, numerous projects are innovating with AI Agent solutions. 🛠️
- While ""AI as a…","","https://pbs.twimg.com/media/GHmWckZWYAAPL7o?format=jpg&name=medium","48","15","2"
"2024-03-01T14:24:49.000Z","image","Meet y’all here 🔌Session 6. The Compute & Storage Layers: Challenges & Opportunities Specific to AI & Agent Use Cases","","https://pbs.twimg.com/media/GG4q3nebgAADEty?format=jpg&name=medium","20","3",""
"2024-02-29T07:39:13.000Z","video","Full speech here:
LIVE ON STAGE NOW!
@Polkadot Mini-Summit.`

@marvin_tong  from @PhalaNetwork  on the stage now!

Watch the clip below 👇","","https://pbs.twimg.com/ext_tw_video_thumb/1762971558966910976/pu/img/OuC_8P3w9DTlmEMS.jpg","39","9","1"
"2024-02-28T17:15:04.000Z","video","Introduce 🤖 Agent Contract 🤖
🔨 Create and host AI Agent with  like smart contracts, to build a Multi-Agents World.
👋 Vision shared together with
🧰 Support

💡Idea and design made in…","","https://pbs.twimg.com/ext_tw_video_thumb/1762887709507411968/pu/img/sYV1VyHvQlPkOaHY.jpg","141","55","10"
"2024-02-28T03:07:59.000Z","text","Congrats to  and  for the launch! 🚀After two years of building a decentralized social protocol, we are excited to announce that Lens is now permissionless and open for everyone to join! x.com/LensProtocol/s…","","","21","1","1"
"2024-02-27T15:27:57.000Z","text","Builders don't build for narratives.
But following 💎s are true:
- AI as a player in a game
- AI as an interface to the game
- AI as the rules of the game
- AI as the objective of the game.
    What is your favorite narrative of this cycle?","","","47","15","1"
"2024-02-27T15:05:27.000Z","text","wow  is moving fast on both AI and DeSocial:
  Great work!","","","92","34","5"
"2024-02-26T04:42:05.000Z","image","When L5?excited to deploy the world's first L4 on top of @unalignedcap's L3 using @conduitxyz

see you on the eplebs chain!","","https://pbs.twimg.com/media/GHE-lsqWEAA3JOA?format=jpg&name=medium","16","4","1"
"2024-02-19T22:33:32.000Z","text","🫡","","","","",""
"2024-02-07T15:19:35.000Z","image","We got lucky 🍀With a mid-auction bid and a bit of luck Khala Network, @PhalaNetwork's parachain on #Kusama, managed to renew the slot by winning auction no. 127! 🎉🥳🍾","","https://pbs.twimg.com/media/GFunXu-XkAA9SP-?format=jpg&name=medium","22","","2"
"2024-02-03T03:21:49.000Z","image","Great to see  updated  intro based on our roadmap 2024:
""Phala Network is a coprocessor for blockchains...""
","","https://pbs.twimg.com/media/GFYbqOebkAAgyqt?format=jpg&name=medium","78","18","1"
"2024-02-02T16:37:31.000Z","text","AI is their puppet🤖","","","","",""
"2024-02-01T01:03:00.000Z","image","Yup","","https://pbs.twimg.com/media/GFNo44uacAANij8?format=jpg&name=medium","","",""
"2024-01-31T18:51:27.000Z","image","Build #DeSoc ⚡️Exciting news - #PhalaNetwork will be participating in @takoProtocol’s #DeSoc hackathon as a Strategic Partner! 😎

We’ll be collaborating with @lensprotocol, @airstack_xyz & @DWFLabs. Hackers will be competing for a prize pool of $17,000 & also #PhatContract based bounties 🏆","","https://pbs.twimg.com/media/GFMRmJHWoAA1jj1?format=jpg&name=medium","16","1","1"
"2024-01-31T06:28:29.000Z","image","Tired of comparing the cryptography buzz words:
ZKP, MPC, FHE, TEE....","","https://pbs.twimg.com/media/GFJpaHTb0AASqAx?format=jpg&name=medium","24","5",""
"2024-01-30T23:15:13.000Z","image","Fresh 📕 from
Read Write Own—A good read for Web3 builders","","https://pbs.twimg.com/media/GFIGq7IbQAAqYyx?format=jpg&name=medium","35","2","2"
"2024-01-30T16:46:25.000Z","image","🚀 Navigating $PHA tokenomics just got easier!
- Multi-chain approach integrates seamlessly across Ethereum, Phala Network, and Khala Network.
- Check out the NEW metrics page where the allocation and distribution of $PHA are displayed with clarity.","","https://pbs.twimg.com/media/GFGsZGkbIAApuky?format=jpg&name=medium","77","26","4"
"2024-01-29T22:54:01.000Z","video","Our dynamic roadmap make things more clear:
And we'll keep updating it.Tune in as Co-Founder @marvin_tong reveals Phala's 2024 roadmap!

Here are our key focus areas for 2024:

1⃣ Coprocessor for #SmartContracts.
2⃣ Coprocessor to connect #DePIN.
3⃣ Coprocessor for #AI.

📖 Blog: https://bit.ly/phala-2024-road-map…
🧭 Roadmap: https://bit.ly/phala-roadmap-2024……","","https://pbs.twimg.com/ext_tw_video_thumb/1752102115978407936/pu/img/TkzFOiRkTBvVwDj4.jpg,https://pbs.twimg.com/ext_tw_video_thumb/1752044935531126784/pu/img/FEpvSc5QZRzYysJ6?format=jpg&name=360x360","53","10","6"
"2024-01-27T06:39:15.000Z","image","Another Friday party night —dance with buzz words","","https://pbs.twimg.com/media/GE1F85UboAAv122?format=jpg&name=medium","62","9","8"
"2024-01-27T04:01:40.000Z","text","It’s disappointing that  uses this method to defend against competition from  :
if chainlink’s oracle is permissionless, then obviously Oval is a good idea for all ecosystem!

It even looks a little ugly.
Support  and  on this.This post from @Chainlink isn’t fair. I will respond the same way I always do: I will be transparent, intellectually honest, and I will fight for permissionless innovation.

@UMAprotocol’s Oval is a great product and is thoughtfully engineered. I want Oval to be evaluated on its…","","","26","1","4"
"2024-01-17T17:46:10.000Z","text","SGX is Not Being Deprecated:
Contrary to the belief that SGX is becoming obsolete, confidential computing is actually thriving. SGX will continue to be used, especially on Xeon processors. Alternatives with potential applications in blockchain-specific hardware.","","","4","","1"
"2024-01-17T17:29:13.000Z","text","Just e/acc it!
Here's a good read from  :","","","2","","1"
"2024-01-15T17:44:09.000Z","image","What a journey! Good teams always work out 👇
Congrats to    for the milestone!Introducing @MantaNetwork $MANTA on #Binance Launchpool!

Farm #MANTA by staking #BNB and $FDUSD.

➡️ https://binance.com/en/support/announcement/introducing-manta-manta-on-binance-launchpool-farm-manta-by-staking-bnb-and-fdusd-d408406a0b594b2d82206f7ea9ca60bc?ref=AZTKZ9XS&utm_source=BinanceTwitter&utm_medium=GlobalSocial&utm_campaign=GlobalSocial…","","https://pbs.twimg.com/media/GD4i4dbXQAA4Wjh?format=jpg&name=medium","21","2",""
"2024-01-13T18:06:52.000Z","text","wow Yat?","","","2","","1"
"2024-01-12T06:59:38.000Z","video","Revolution or Joke?Introducing r1. Watch the keynote.

Order now: http://rabbit.tech

#CES2024","","https://pbs.twimg.com/amplify_video_thumb/1744679393627377664/img/gZLHhjksVTQW3bOp.jpg","7","","2"
"2024-01-11T19:22:00.000Z","text","8/ 📖 Dive deeper into the insights and trends shaping the web3 world in the full 2023 Crypto Consumer Report by  ：","","","1","",""
